district,party,candidate
1,МАН,Энхбаатар БАЯРХҮҮ
1,МАН,Балдандагва ОРГИЛБОЛД
1,АН,Даваасүрэн ЭНХТӨР
1,АН,Мянган МӨНХЗУЛ
1,ИЗНН,Батсайхан МӨНХЖАРГАЛ
1,ИЗНН,Даграв ПҮРЭВСҮРЭН
1,ХҮН,Төмөр-Очир БУЛГАНМАА
1,ХҮН,Билэгт ЗАНДАН
1,ИОНН,Зориг ТУЯА
3,МАН,Баясгалан СЭРГЭЛЭН
3,МАН,Дугарбаатар МЯГМАР
3,АН,Халзан НЯМДАГВА
3,АН,Очирпүрэв БАТСҮХ
3,ИЗНН,Түвшинбат УЛСБОЛД
3,ИЗНН,Батноров ЧИНЗОРИГ
3,ХҮН,Бат-Очир АРИГУУН
3,ХҮН,Батцэрэн ДАРИЙМ
3,ИОНН,Хүрэлбаатар ЗОРИГ
3,ИОНН,Гантөмөр ГАНТУЯА
6,МАН,Гансүх МӨНХСҮХ
6,МАН,Болд ОЮУ-ЭРДЭНЭ
6,АН,Энхбаатар АРИУНТУНГАЛАГ
6,АН,Бумбар ЭНХБАЯР
6,ИЗНН,Батноров ГАНБОЛД
6,ИЗНН,Даваацэрэн САНГИАДОРЖ
6,ХҮН,Батмөнх МӨНХБОЛД
7,МАН,Зоригтбаатар ХОНГОРЗУЛ
7,МАН,Ганбаяр ЭРХЭСХУЛАН
7,АН,Лувсанжанцан ОТГОНЦЭЦЭГ
7,АН,Эрдэнэ ГАНБАТ
7,ИЗНН,Ганбат ОЮУ-ЭРДЭНЭ
7,ХҮН,Жаргалсайхан ГАНБОЛД
8,МАН,Чанрав МЭНДБАЯР
8,МАН,Нямбуу МЯГМАРСҮРЭН
8,АН,Сандаг ЭРДЭНЭЦЭЦЭГ
8,АН,Цагаандорж ШИЖИР
8,ХҮН,Пүрэвдорж БАТТОГТОХ
8,ХҮН,Амгалантөгс ЖАВХЛАНТӨГС
8,ИОНН,Болдбаатар ШИНЭБААТАР
9,МАН,ЦЭВЭГМИД ГАНЗОРИГ
9,МАН,ӨЛЗИЙХҮҮ ӨЛЗИЙТУЯА
9,АН,ГАНХУЯГ ӨНӨРТҮВШИН
9,АН,МИЖИДДОРЖ ЭНХМАА
9,ИОНН,ПАВЛОВ ГАНЧИМЭГ
9,ИЗНН,БАРХАС МАРАЛГОО
9,ХҮН,НАНЗАД ЛХАГВАДОРЖ
9,ХҮН,БААТАРСҮХ БОЛОР-ЭРДЭНЭ
10,МАН,Лхагвадорж УНДРАХ
10,МАН,Арилдийрагчаа ГАНХУЯГ
10,АН,Баярхүү БАТТӨР
10,АН,Ганзориг БААТАРЗОРИГ
10,ИЗНН,Зундуй ЗӨВТӨР
10,ИЗНН,Шарав ГАНЧИМЭГ
10,ХҮН,Энх-Амгалан ТЭНГИСТАМИР
10,ХҮН,Дүйнхэрсүрэн ОТГОНТУЯА
10,ҮБЗН,СУГАР СОЁЛЦЭЦЭГ
11,МАН,Батмөнх БЯМБАСАЙХАН
11,МАН,Данзан ЛХАГВАСҮРЭН
11,АН,Лхамсүрэн ТҮМЭНТУУЛ
11,АН,Баярсайхан ЭНХЗАЯА
11,Үндэсний Эвсэл,Пүрэвдорж АЛТАНХУЯГ
11,ХҮН,ҮНЭНБУЯН ГАНТИГ
11,ХҮН,ЦООДОЛСҮРЭН АМАРСАЙХАН
12,МАН,Түвдэнсүрэн АМАРТҮВШИН
12,МАН,Энхбат МӨНХЦЭЦЭГ
12,АН,Эрдэнэ БИЛГҮҮН
12,АН,Дашзэгвэ УУГАНБАЯР
12,ИЗНН,Хорол МӨНХЖАРГАЛ
13,МАН,Ганхуяг ДЭМБЭРЭЛ
13,МАН,Ядам РАДНАА
13,АН,Намхайдорж МӨНХТОГТОХ
13,АН,Лхагвасүрэн БАЯНДАЛАЙ
13,ХҮН,Баянжаргал БАЯР-ЭРДЭНЭ
14,МАН,Адъяажав СҮХБААТАР
14,МАН,Энхсайхан ЭРДЭНЭБААТАР
14,АН,Мөнхмагнай АЛТАНГЭРЭЛ
14,АН,Лхагвадорж МӨНХТҮВШИН
14,ИЗНН,Чагнаадорж ХОНГОРЗУЛ
14,ИХН,Чимэддорж ЭРДЭНЭБАТ
15,МАН,Ганболд БИЛГҮҮН
15,МАН,Ганболд БОЛДМАА
15,АН,Цэдэв САРАНТУЯА
15,АН,Чулуунбаатар МӨНХЖАРГАЛ
15,Үндэсний Эвсэл,Цэрэнбалжир БЯМБАСҮРЭН
15,ИЗНН,Шарав БАТХИШИГ
15,ИЗНН,Түвшинбат ТӨРБОЛД
15,ХҮН,Лхагва БААТАР
16,МАН,Баясгалан АМАР
